,UUID,Name,Manufacturer,Protocols Referenced,Verified
890099,5fHcy8-pYmCbH9MmusNZ,whatman,Cytiva,94557,Yes
726509,gyLhCZIBPBHhf-iFeM0p,trizol reagent,Thermo Fisher Scientific,85338,No
790248,JyLhCZIBPBHhf-iFeM4p,fetal bovine serum (fbs),Thermo Fisher Scientific,82793,No
579006,uyLhCZIBPBHhf-iFeM0p,lipofectamine 2000,Thermo Fisher Scientific,48538,No
571875,zCLhCZIBPBHhf-iFeNoq,prism 8,GraphPad,45576,No
571700,UyLhCZIBPBHhf-iFeM0p,rneasy mini kit,Qiagen,41418,No
790259,mSLhCZIBPBHhf-iFeM0p,dulbecco modified eagle medium (dmem),Thermo Fisher Scientific,40342,No
578995,vSLhCZIBPBHhf-iFeM8p,prism 5,GraphPad,39065,No
790320,wSLhCZIBPBHhf-iFeM0p,trizol,Thermo Fisher Scientific,38370,No
571876,ziLhCZIBPBHhf-iFeNMq,prism 6,GraphPad,36650,No
578996,QCLhCZIBPBHhf-iFeNMq,penicillin streptomycin,Thermo Fisher Scientific,33948,No
790252,piLhCZIBPBHhf-iFeNEp,prism 7,GraphPad,32527,No
726510,SiLhCZIBPBHhf-iFeNIp,streptomycin,Thermo Fisher Scientific,24872,No
726512,SSLhCZIBPBHhf-iFeNIp,penicillin,Thermo Fisher Scientific,24825,No
578994,VCLhCZIBPBHhf-iFeNsq,prism 9,GraphPad,24382,No
890097,v7fV3i6AWBRDe9Wg6S3e,hybond,Cytiva,23833,Yes
790299,5SLhCZIBPBHhf-iFeNYq,dimethyl sulfoxide (dmso),Merck Group,21024,No
640065,iyLhCZIBPBHhf-iFeNAp,matlab,MathWorks,20315,No
726703,ZiLhCZIBPBHhf-iFeNQq,pvdf membrane,Merck Group,20308,No
790253,SJ3FHJMBdNj1hjtA5aWJ,sas 9,SAS Institute,20063,No
571694,siLhCZIBPBHhf-iFeOAr,rpmi 1640 medium,Thermo Fisher Scientific,19060,No
790256,Vp3FHJMBdNj1hjtAk2uB,sas version 9,SAS Institute,18810,No
572660,CyLhCZIBPBHhf-iFeOEr,facscalibur,BD,18538,No
579012,8iLhCZIBPBHhf-iFeNQq,lipofectamine 3000,Thermo Fisher Scientific,18377,No
726518,FSLhCZIBPBHhf-iFeNAp,matrigel,BD,17210,No
590592,3CLhCZIBPBHhf-iFeNAp,high capacity cdna reverse transcription kit,Thermo Fisher Scientific,16912,No
790263,3SLhCZIBPBHhf-iFeM0p,bovine serum albumin (bsa),Merck Group,16352,No
591069,jyLhCZIBPBHhf-iFeM4p,dual luciferase reporter assay system,Promega,15939,No
726595,0CLhCZIBPBHhf-iFeM8p,primescript rt reagent kit,Takara Bio,15921,No
579023,miLhCZIBPBHhf-iFeM0p,rpmi 1640,Thermo Fisher Scientific,15891,No
590619,JCLhCZIBPBHhf-iFeM8p,agilent 2100 bioanalyzer,Agilent Technologies,15883,No
890083,_gMHStGaoRjVo8rE-XJ2,hitrap,Cytiva,15699,Yes
726511,KCLhCZIBPBHhf-iFeM4p,l glutamine,Thermo Fisher Scientific,14671,No
790312,mSLhCZIBPBHhf-iFeM4p,fetal bovine serum (fbs),Merck Group,13055,No
571938,LyLhCZIBPBHhf-iFeM4p,hiseq 2500,Illumina,12028,No
571818,KSLhCZIBPBHhf-iFeNAp,iscript cdna synthesis kit,Bio-Rad,11729,No
790398,ZiLhCZIBPBHhf-iFeNMq,4 6 diamidino 2 phenylindole (dapi),Merck Group,11672,No
571882,JyLhCZIBPBHhf-iFeNUq,lipofectamine rnaimax,Thermo Fisher Scientific,11279,No
726660,ECLhCZIBPBHhf-iFeNIp,rneasy kit,Qiagen,11240,No
571878,ZCLhCZIBPBHhf-iFeM0p,triton x 100,Merck Group,11138,No
571503,rCLhCZIBPBHhf-iFeNAp,steponeplus real time pcr system,Thermo Fisher Scientific,10925,No
578999,XyLhCZIBPBHhf-iFeNMq,spss version 20,IBM,10763,No
571547,qiLhCZIBPBHhf-iFnfcu,facscanto 2,BD,10652,No
790267,ECLhCZIBPBHhf-iFeOIr,4 6 diamidino 2 phenylindole (dapi),Thermo Fisher Scientific,10630,No
591028,3CLhCZIBPBHhf-iFeM0p,protease inhibitor cocktail,Roche,10240,No
790275,tCLhCZIBPBHhf-iFeNYq,glutamax,Thermo Fisher Scientific,10236,No
571810,AyLhCZIBPBHhf-iFeM4p,facscalibur flow cytometer,BD,10214,No
579024,SSLhCZIBPBHhf-iFeNAp,nanodrop 2000,Thermo Fisher Scientific,10155,No
571909,GyLhCZIBPBHhf-iFeM4p,hiseq 2000,Illumina,10114,No
590692,xSLhCZIBPBHhf-iFeNEp,protease inhibitor cocktail,Merck Group,9861,No
579003,GCPhCZIBPBHhf-iFnQUw,spss version 22,IBM,9849,No
790500,tCLhCZIBPBHhf-iFeNwr,methyl thiazolyl tetrazolium (mtt),Merck Group,9566,No
592783,CiLhCZIBPBHhf-iFeM4p,spss statistic,IBM,9452,No
571886,9iLhCZIBPBHhf-iFeOAr,dmem f12,Thermo Fisher Scientific,9007,No
790408,8yLhCZIBPBHhf-iFeNQq,opti mem,Thermo Fisher Scientific,8992,No
